15 1859 8759
2 376 -0.197697 -0.0926774
2 119 -0.138567 -0.0922216
0 377 0.142826 -0.0647257
2 377 0.119341 -0.0892454
0 378 -0.122194 -0.0628222
2 378 -0.131206 -0.089478
0 379 -0.117172 -0.0613924
2 379 -0.12831 -0.0885455
2 120 -0.118099 -0.0862902
2 123 0.267377 -0.0771604
2 124 -0.00139175 -0.0841055
0 380 -0.0978135 -0.055075
2 380 -0.111022 -0.0827297
2 126 -0.00873383 -0.0841096
2 128 0.0110137 -0.0815689
2 130 -0.108404 -0.081756
2 131 0.00177893 -0.0806645
2 133 -0.0962069 -0.0774384
0 381 -0.121558 -0.0501913
2 381 -0.133484 -0.079191
2 134 0.025375 -0.0792727
0 382 0.128192 -0.0478702
2 382 0.103912 -0.0724142
2 136 0.271479 -0.068671
2 137 -0.0871448 -0.0717482
0 383 0.299747 -0.044351
2 383 0.278081 -0.0657647
2 138 0.0068166 -0.0714481
2 141 -0.0791026 -0.0688517
2 143 0.0134581 -0.0662967
2 144 -0.106097 -0.0652185
0 384 -0.0587272 -0.0368944
2 384 -0.0676988 -0.0613804
2 146 -0.1213 -0.0632537
0 385 -0.0542723 -0.0344146
2 385 -0.0530126 -0.0526782
2 148 0.00175537 -0.0636651
2 149 0.0203 -0.0618863
0 386 -0.047139 -0.0316454
2 386 -0.0449184 -0.0489064
0 387 0.122899 -0.030861
2 387 0.0902946 -0.061656
2 150 0.277872 -0.0511391
2 151 -0.0935511 -0.0576888
0 388 -0.0420436 -0.0278379
2 388 -0.0377207 -0.0433234
0 389 -0.00593143 -0.0251756
2 389 -0.00765826 -0.0435231
0 390 -0.0333443 -0.0240587
2 390 -0.0272506 -0.0387085
2 155 -0.10759 -0.0524185
0 391 -0.0752992 -0.0181578
2 391 -0.0831974 -0.0429113
2 156 -0.114139 -0.0490135
0 392 0.0217239 -0.0162784
2 392 0.0142496 -0.0368237
2 163 -0.108411 -0.0448422
2 164 -0.074651 -0.032816
0 393 -0.0602378 -0.00400051
2 393 -0.0644699 -0.0261894
